Site,Control System,Unit,Application Type,Application Instance,Points
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,Global Data,GLOBAL DATA,"ALL LIGHTS IN, ALL LIGHTS ON, CURTAILMENT OUT, HVAC EMER OV, HVAC PHASE LOSS, INDOOR HUM OUT, LIGHT LEVEL IN, LIGHT LEVEL OUT, OAT OUT, OUTDOOR HUM OUT, OUTDOOR TEMP, REFR EMER OV, REFR PHASE LOSS, SPARE ANLG1 OUT, SPARE ANLG2 OUT, SPARE ANLG3 OUT, SPARE ANLG4 OUT, SPARE ANLG5 OUT, SPARE ANLG6 OUT, SPARE ANLG7 OUT, SPARE ANLG8 OUT, SPARE DIG1 OUT, SPARE DIG2 OUT, SPARE DIG3 OUT, SPARE DIG4 OUT, SPARE DIG5 OUT, SPARE DIG6 OUT, SPARE DIG7 OUT, SPARE DIG8 OUT, SUMMER WINTER"
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Global Data,GLOBAL DATA,"ALL LIGHTS IN, ALL LIGHTS ON, CURTAILMENT OUT, HVAC EMER OV, HVAC PHASE LOSS, INDOOR HUM OUT, LIGHT LEVEL IN, LIGHT LEVEL OUT, OAT OUT, OUTDOOR HUM OUT, OUTDOOR TEMP, REFR EMER OV, REFR PHASE LOSS, SPARE ANLG1 OUT, SPARE ANLG2 OUT, SPARE ANLG3 OUT, SPARE ANLG4 OUT, SPARE ANLG5 OUT, SPARE ANLG6 OUT, SPARE ANLG7 OUT, SPARE ANLG8 OUT, SPARE DIG1 OUT, SPARE DIG2 OUT, SPARE DIG3 OUT, SPARE DIG4 OUT, SPARE DIG5 OUT, SPARE DIG6 OUT, SPARE DIG7 OUT, SPARE DIG8 OUT, SUMMER WINTER"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Global Data,GLOBAL DATA,"ALL LIGHTS ON, LIGHT LEVEL IN, LIGHT LEVEL OUT, OAT OUT, OUTDOOR TEMP"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Global Data,GLOBAL DATA,"ALL LIGHTS ON, LIGHT LEVEL IN, LIGHT LEVEL OUT, OAT OUT, OUTDOOR TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Lighting Control,KS OUTSIDE LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHT LEVEL IN, LIGHTS OUTPUT"
"00003 TABERNACLE,NJ",Control System,CX-300 1: CVS 00003,Sensor Control DV,OCC SHDN DELAY,COMMAND OUT
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,Time Schedules,OCCUPANCY,OUTPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Time Schedules,OCCUPANCY,OUTPUT
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Time Schedules,OCCUPANCY,OUTPUT
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Time Schedules,OCCUPANCY,"BYPASS TO ON, OUTPUT"
